detector_name,detector_label,detector_category,detector_lane,detector_field,detector_abandoned,r_node_name,r_node_n_type,r_node_transition,r_node_label,r_node_lon,r_node_lat,r_node_lanes,r_node_shift,r_node_s_limit,r_node_station_id,r_node_attach_side,corridor_route,corridor_dir,date
8680,BgSpnk/1Ehf,PK,1,22,f,rnd_7007,Station,None,(Stall 1),-94.48413,45.60406,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8681,BgSpnk/1Ehr,PK,2,22,f,rnd_7007,Station,None,(Stall 1),-94.48413,45.60406,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8682,BgSpnk/2Ehf,PK,1,22,f,rnd_7152,Station,None,(Stall 2),-94.48405,45.60404,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8683,BgSpnk/2Ehr,PK,2,22,f,rnd_7152,Station,None,(Stall 2),-94.48405,45.60404,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8684,BgSpnk/3Ehf,PK,1,22,f,rnd_7190,Station,None,(Stall 3),-94.48397,45.60401,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8685,BgSpnk/3Ehr,PK,2,22,f,rnd_7190,Station,None,(Stall 3),-94.48397,45.60401,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8686,BgSpnk/4Ehf,PK,1,22,f,rnd_7227,Station,None,(Stall 4),-94.48388,45.60399,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8687,BgSpnk/4Ehr,PK,2,22,f,rnd_7227,Station,None,(Stall 4),-94.48388,45.60399,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8688,BgSpnk/5Ehf,PK,1,22,f,rnd_7232,Station,None,(Stall 5),-94.48378,45.60396,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8689,BgSpnk/5Ehr,PK,2,22,f,rnd_7232,Station,None,(Stall 5),-94.48378,45.60396,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8690,BgSpnk/6Ehf,PK,1,22,f,rnd_7233,Station,None,(Stall 6),-94.48369,45.60393,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8691,BgSpnk/6Ehr,PK,2,22,f,rnd_7233,Station,None,(Stall 6),-94.48369,45.60393,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8692,BgSpnk/7Ehf,PK,1,22,f,rnd_7241,Station,None,(Stall 7),-94.48361,45.60389,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8693,BgSpnk/7Ehr,PK,2,22,f,rnd_7241,Station,None,(Stall 7),-94.48361,45.60389,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8694,BgSpnk/8Ehf,PK,1,22,f,rnd_7266,Station,None,(Stall 8),-94.4834,45.60384,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8695,BgSpnk/8Ehr,PK,2,22,f,rnd_7266,Station,None,(Stall 8),-94.4834,45.60384,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8696,BgSpnk/9Ehf,PK,1,22,f,rnd_7267,Station,None,(Stall 9),-94.48332,45.60383,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8697,BgSpnk/9Ehr,PK,2,22,f,rnd_7267,Station,None,(Stall 9),-94.48332,45.60383,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8698,BgSpnk/10Ehf,PK,1,22,f,rnd_7268,Station,None,(Stall 10),-94.48324,45.60379,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8699,BgSpnk/10Ehr,PK,2,22,f,rnd_7268,Station,None,(Stall 10),-94.48324,45.60379,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8700,BgSpnk/11Ehf,PK,1,22,f,rnd_7269,Station,None,(Stall 11),-94.48316,45.60378,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8701,BgSpnk/11Ehr,PK,2,22,f,rnd_7269,Station,None,(Stall 11),-94.48316,45.60378,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8702,BgSpnk/12Ehf,PK,1,22,f,rnd_7270,Station,None,(Stall 12),-94.48309,45.60377,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8703,BgSpnk/12Ehr,PK,2,22,f,rnd_7270,Station,None,(Stall 12),-94.48309,45.60377,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8704,BgSpnk/13Ehf,PK,1,22,f,rnd_7271,Station,None,(Stall 13),-94.48302,45.60374,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8705,BgSpnk/13Ehr,PK,2,22,f,rnd_7271,Station,None,(Stall 13),-94.48302,45.60374,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8706,BgSpnk/14Ehf,PK,1,22,f,rnd_7272,Station,None,(Stall 14),-94.48296,45.60373,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8707,BgSpnk/14Ehr,PK,2,22,f,rnd_7272,Station,None,(Stall 14),-94.48296,45.60373,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8708,BgSpnk/15Ehf,PK,1,22,f,rnd_7273,Station,None,(Stall 15),-94.4829,45.60372,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8709,BgSpnk/15Ehr,PK,2,22,f,rnd_7273,Station,None,(Stall 15),-94.4829,45.60372,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8710,BgSpnk/16Ehf,PK,1,22,f,rnd_7274,Station,None,(Stall 16),-94.48283,45.6037,1,6,55,,right,Big Spunk RA,EB,2020-03-24
8711,BgSpnk/16Ehr,PK,2,22,f,rnd_7274,Station,None,(Stall 16),-94.48283,45.6037,1,6,55,,right,Big Spunk RA,EB,2020-03-24
80016,CSAH1/TH60N1,,1,22,f,rnd_5838,Station,None,T.H.60,-94.91933,43.93146,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80017,CSAH1/TH60N1,,1,22,f,rnd_5838,Station,None,T.H.60,-94.91933,43.93146,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80012,CSAH1/TH60N1,,1,22,f,rnd_5837,Station,None,T.H.60,-94.91935,43.93187,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80014,CSAH1/TH60N1,,1,22,f,rnd_5837,Station,None,T.H.60,-94.91935,43.93187,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80019,CSAH1/TH23N1,,1,22,f,rnd_5778,Station,None,T.H.23,-95.18623,45.04359,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80110,CSAH1/TH23N1,,1,22,f,rnd_5775,Station,None,T.H.23,-95.18625,45.04297,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
80111,CSAH1/TH23N1,,1,22,f,rnd_5775,Station,None,T.H.23,-95.18625,45.04297,2,6,55,,right,C.S.A.H.1,NB,2020-03-24
