District,date,Difference from Typical VMT (%)
MnDOT Statewide,2020-03-01,10.9
MnDOT Statewide,2020-03-02,3
MnDOT Statewide,2020-03-03,0.7
MnDOT Statewide,2020-03-04,1.8
MnDOT Statewide,2020-03-05,0.3
MnDOT Statewide,2020-03-06,3.7
MnDOT Statewide,2020-03-07,10.5
MnDOT Statewide,2020-03-08,11.1
MnDOT Statewide,2020-03-09,-0.7
MnDOT Statewide,2020-03-10,0.7
MnDOT Statewide,2020-03-11,0.6
MnDOT Statewide,2020-03-12,3.8
MnDOT Statewide,2020-03-13,-1.3
MnDOT Statewide,2020-03-14,-4.5
MnDOT Statewide,2020-03-15,-5.2
MnDOT Statewide,2020-03-16,-8.3
MnDOT Statewide,2020-03-17,-11.4
MnDOT Statewide,2020-03-18,-20
MnDOT Statewide,2020-03-19,-27.1
MnDOT Statewide,2020-03-20,-29.1
MnDOT Statewide,2020-03-21,-32.6
MnDOT Statewide,2020-03-22,-38.5
MnDOT Statewide,2020-03-23,-25.8
MnDOT Statewide,2020-03-24,-28.6
MnDOT Statewide,2020-03-25,-31.8
MnDOT Statewide,2020-03-26,-25.2
MnDOT Statewide,2020-03-27,-30.1
MnDOT Statewide,2020-03-28,-54.8
MnDOT Statewide,2020-03-29,-54
MnDOT Statewide,2020-03-30,-34.2
MnDOT Statewide,2020-03-31,-35.1
MnDOT Statewide,2020-04-01,-37.9
MnDOT Statewide,2020-04-02,-36.5
MnDOT Statewide,2020-04-03,-51.6
MnDOT Statewide,2020-04-04,-47.8
MnDOT Statewide,2020-04-05,-50
MnDOT Statewide,2020-04-06,-39.4
MnDOT Statewide,2020-04-07,-38.6
MnDOT Statewide,2020-04-08,-35.3
MnDOT Statewide,2020-04-09,-30.9
MnDOT Statewide,2020-04-10,-38
MnDOT Statewide,2020-04-11,-39.4
MnDOT Statewide,2020-04-12,-67.9
MnDOT Statewide,2020-04-13,-40.4
MnDOT Statewide,2020-04-14,-38.5
MnDOT Statewide,2020-04-15,-32.5
MnDOT Statewide,2020-04-16,-26.2
MnDOT Statewide,2020-04-17,-31.4
MnDOT Statewide,2020-04-18,-32.6
MnDOT Statewide,2020-04-19,-38.6
MnDOT Statewide,2020-04-20,-32
MnDOT Statewide,2020-04-21,-30.8
MnDOT Statewide,2020-04-22,-22.3
