date,hour,corridor_route,speed
2020-03-02,1,I-35,70.7338660340585
2020-03-02,2,I-35,63.6013723555249
2020-03-02,3,I-35,65.5882746347393
2020-03-02,4,I-35,70.0929193549565
2020-03-02,5,I-35,72.4977698477969
2020-03-02,6,I-35,77.2803228518539
2020-03-02,7,I-35,77.5831809818464
2020-03-02,8,I-35,73.8461834477354
2020-03-02,9,I-35,72.5317953485957
2020-03-02,10,I-35,70.5111194503201
2020-03-02,11,I-35,71.8517521812915
2020-03-02,12,I-35,72.534390689293
2020-03-02,13,I-35,72.2545711719994
2020-03-02,14,I-35,74.7948703898944
2020-03-02,15,I-35,77.4706132773518
2020-03-02,16,I-35,78.4094242628105
2020-03-02,17,I-35,77.9871134123629
2020-03-02,18,I-35,77.4576564130546
2020-03-02,19,I-35,74.8446776669838
2020-03-02,20,I-35,76.2239452646878
2020-03-02,21,I-35,74.4265646941657
2020-03-02,22,I-35,73.7299440327272
2020-03-02,23,I-35,71.0188882594213
2020-03-03,1,I-35,68.5627626754299
2020-03-03,2,I-35,63.8359889151481
2020-03-03,3,I-35,64.00535839509
2020-03-03,4,I-35,64.2487100683232
2020-03-03,5,I-35,72.1301567775031
2020-03-03,6,I-35,74.8876337438671
2020-03-03,7,I-35,73.2869105767019
2020-03-03,8,I-35,73.4724387727459
2020-03-03,9,I-35,70.499488650731
2020-03-03,10,I-35,71.3752666589141
2020-03-03,11,I-35,71.0300088104618
2020-03-03,12,I-35,72.3749139423252
2020-03-03,13,I-35,73.7121355147855
2020-03-03,14,I-35,74.3134055612789
2020-03-03,15,I-35,76.9201811695252
2020-03-03,16,I-35,77.889637563238
2020-03-03,17,I-35,79.0169854777095
2020-03-03,18,I-35,76.9890646337359
2020-03-03,19,I-35,76.2707075770336
2020-03-03,20,I-35,76.3178648855559
2020-03-03,21,I-35,73.5710358485233
2020-03-03,22,I-35,72.1586862861471
2020-03-03,23,I-35,71.3111028800458
2020-03-04,1,I-35,65.414878245746
2020-03-04,2,I-35,61.6550806851184
2020-03-04,3,I-35,61.3766232663588
2020-03-04,4,I-35,63.5576303670224
2020-03-04,5,I-35,70.3662514185105
2020-03-04,6,I-35,75.2748291026176
2020-03-04,7,I-35,75.8250409582321
2020-03-04,8,I-35,75.2244923268746
2020-03-04,9,I-35,72.2731581704618
2020-03-04,10,I-35,71.326876604274
2020-03-04,11,I-35,71.701294738798
2020-03-04,12,I-35,72.0547611919541
2020-03-04,13,I-35,73.132031254738
2020-03-04,14,I-35,75.6940283176659
2020-03-04,15,I-35,78.0233416428792
2020-03-04,16,I-35,77.292436043435
2020-03-04,17,I-35,74.8649413731062
2020-03-04,18,I-35,76.1447018090377
2020-03-04,19,I-35,75.6335662367698
2020-03-04,20,I-35,75.0917381045985
2020-03-04,21,I-35,75.0724512431336
2020-03-04,22,I-35,73.1272898618129
2020-03-04,23,I-35,69.5976689022771
2020-03-05,1,I-35,64.2491084378992
2020-03-05,2,I-35,62.3242403370133
2020-03-05,3,I-35,63.1912088227327
2020-03-05,4,I-35,62.1965265160625
2020-03-05,5,I-35,72.5474794041694
2020-03-05,6,I-35,75.4420971611603
2020-03-05,7,I-35,76.1100972016784
2020-03-05,8,I-35,73.4784571331245
2020-03-05,9,I-35,70.6086751628699
2020-03-05,10,I-35,69.1985910995949
2020-03-05,11,I-35,70.3652162236768
2020-03-05,12,I-35,71.7221451038315
2020-03-05,13,I-35,71.5533893037537
2020-03-05,14,I-35,73.6244624888944
2020-03-05,15,I-35,76.3364477823339
2020-03-05,16,I-35,76.4412047637268
2020-03-05,17,I-35,77.6217633255542
2020-03-05,18,I-35,77.3581307288076
2020-03-05,19,I-35,76.536144085269
2020-03-05,20,I-35,76.212458286751
2020-03-05,21,I-35,75.6326247700129
2020-03-05,22,I-35,73.1227297166595
2020-03-05,23,I-35,72.9630045966655
2020-03-06,1,I-35,67.8454890497006
2020-03-06,2,I-35,62.3894848126714
2020-03-06,3,I-35,63.7758293249787
2020-03-06,4,I-35,63.5922000540785
2020-03-06,5,I-35,69.8451195420134
2020-03-06,6,I-35,74.9356225786619
2020-03-06,7,I-35,75.9746702668403
2020-03-06,8,I-35,74.7178035424861
2020-03-06,9,I-35,75.175390917543
2020-03-06,10,I-35,74.0128735868305
2020-03-06,11,I-35,74.5096166116328
2020-03-06,12,I-35,75.6458728947101
2020-03-06,13,I-35,76.7898650853369
2020-03-06,14,I-35,78.3587486836553
2020-03-06,15,I-35,79.1833643558671
2020-03-06,16,I-35,79.566110239257
2020-03-06,17,I-35,80.7980646272169
2020-03-06,18,I-35,79.3404402247592
2020-03-06,19,I-35,79.3298770444861
2020-03-06,20,I-35,79.5550762908769
2020-03-06,21,I-35,78.0483935888148
2020-03-06,22,I-35,75.5414509379243
2020-03-06,23,I-35,75.9547777636927
2020-03-07,1,I-35,73.7955576390845
2020-03-07,2,I-35,73.3953891525874
2020-03-07,3,I-35,69.28769033159
2020-03-07,4,I-35,71.5642348712117
2020-03-07,5,I-35,74.3311552058476
2020-03-07,6,I-35,76.5598464695133
2020-03-07,7,I-35,79.2244828232825
